0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108
Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2017,1,1,10,2,2017-01-10,EV,20366,EV,N884AS,2873,14109,1410902,34109,PIB,Hattiesburg/Laurel; MS,MS,28,Mississippi,53,13241,1324102,33241,MEI,Meridian; MS,MS,28,Mississippi,53,650,748,58,58,1,3,0600-0659,27,815,845,4,726,849,83,83,1,5,0700-0759,0,,0,36,61,30,1,69,1,58,0,25,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,14,6,2017-01-14,AS,19930,AS,N469AS,20,14747,1474703,30559,SEA,Seattle; WA,WA,53,Washington,93,13930,1393004,30977,ORD,Chicago; IL,IL,17,Illinois,41,45,38,-7,0,0,-1,0001-0559,17,55,612,12,645,624,-21,0,0,-2,0600-0659,0,,0,240,226,197,1,1721,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,2,2017-01-03,DL,19790,DL,N960DN,2056,13487,1348702,31650,MSP,Minneapolis; MN,MN,27,Minnesota,63,10423,1042302,30423,AUS,Austin; TX,TX,48,Texas,74,1750,1747,-3,0,0,-1,1700-1759,30,1817,2040,5,2051,2045,-6,0,0,-1,2000-2059,0,,0,181,178,143,1,1042,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,11,3,2017-01-11,OO,20304,OO,N868CA,4825,11433,1143302,31295,DTW,Detroit; MI,MI,26,Michigan,43,10408,1040803,30408,ATW,Appleton; WI,WI,55,Wisconsin,45,1000,958,-2,0,0,-1,1000-1059,25,1023,1030,6,1035,1036,1,1,0,0,1000-1059,0,,0,95,98,67,1,296,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,10,2,2017-01-10,AA,19805,AA,N669AA,1970,14027,1402702,34027,PBI,West Palm Beach/Palm Beach; FL,FL,12,Florida,33,11057,1105703,31057,CLT,Charlotte; NC,NC,37,North Carolina,36,1032,1028,-4,0,0,-1,1000-1059,34,1102,1236,28,1231,1304,33,33,1,2,1200-1259,0,,0,119,156,94,1,590,3,0,0,33,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,6,2017-01-07,UA,19977,UA,N436UA,462,14908,1490803,32575,SNA,Santa Ana; CA,CA,6,California,91,12266,1226603,31453,IAH,Houston; TX,TX,48,Texas,74,645,645,0,0,0,0,0600-0659,20,705,1139,5,1208,1144,-24,0,0,-2,1200-1259,0,,0,203,179,154,1,1346,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,26,4,2017-01-26,DL,19790,DL,N805DN,2,12478,1247803,31703,JFK,New York; NY,NY,36,New York,22,11697,1169704,32467,FLL,Fort Lauderdale; FL,FL,12,Florida,33,1945,1943,-2,0,0,-1,1900-1959,39,2022,2254,5,2316,2259,-17,0,0,-2,2300-2359,0,,0,211,196,152,1,1069,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,16,1,2017-01-16,EV,20366,EV,N21197,4139,11423,1142304,31423,DSM,Des Moines; IA,IA,19,Iowa,61,12266,1226603,31453,IAH,Houston; TX,TX,48,Texas,74,1800,1751,-9,0,0,-1,1800-1859,8,1759,2009,7,2031,2016,-15,0,0,-1,2000-2059,0,,0,151,145,130,1,802,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,18,3,2017-01-18,AA,19805,AA,N704AA,1863,11433,1143302,31295,DTW,Detroit; MI,MI,26,Michigan,43,11057,1105703,31057,CLT,Charlotte; NC,NC,37,North Carolina,36,630,627,-3,0,0,-1,0600-0659,13,640,750,11,834,801,-33,0,0,-2,0800-0859,0,,0,124,94,70,1,500,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,19,4,2017-01-19,B6,20409,B6,N570JB,552,14843,1484304,34819,SJU,San Juan; PR,PR,72,Puerto Rico,3,15304,1530402,33195,TPA,Tampa; FL,FL,12,Florida,33,1913,1903,-10,0,0,-1,1900-1959,10,1913,2058,3,2122,2101,-21,0,0,-2,2100-2159,0,,0,189,178,165,1,1237,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
